Nmax,Simple Average,Simplex,Mixture of Best N,Mixture of Best N<=Nmax,Best N-Mixture,"Best N-Mixture, N<=Nmax"
1,1.06100897996042,1.20662439635032,1.8589856436915,1.8589856436915,1.8589856436915,1.8589856436915
2,1.06100897996042,1.20662439635032,1.3516678391914,1.37492295113222,1.34414984097203,1.35266436829293
3,1.06100897996042,1.20662439635032,1.21341867644244,1.27356193473079,1.22362910450702,1.26756776754378
4,1.06100897996042,1.20662439635032,1.16146436001482,1.24623487036111,1.16853236057895,1.24433322225144
5,1.06100897996042,1.20662439635032,1.13219967479127,1.23295910181647,1.13334718669153,1.23696056500975
6,1.06100897996042,1.20662439635032,1.11129778762407,1.22378820450012,1.11415557355055,1.23565374477275
7,1.06100897996042,1.20662439635032,1.09845852755977,1.21937236437175,1.09928526506827,1.23522473270621
8,1.06100897996042,1.20662439635032,1.09014356896783,1.21787514742551,1.08854817389318,1.23512049366468
9,1.06100897996042,1.20662439635032,1.08271043594563,1.21568238511424,1.08157572834657,1.23513225604592
10,1.06100897996042,1.20662439635032,1.07742359026362,1.21453407652816,1.07770622697512,1.23513225604592
11,1.06100897996042,1.20662439635032,1.07307839789496,1.21359126034134,1.07361596583207,1.23513225604592
12,1.06100897996042,1.20662439635032,1.07131297948949,1.21322205725964,1.07098960855503,1.23513225604592
13,1.06100897996042,1.20662439635032,1.06929944646914,1.2130444081315,1.068011488366,1.23513225604592
14,1.06100897996042,1.20662439635032,1.06671428814157,1.21294171114846,1.06705203235559,1.23513225604592
15,1.06100897996042,1.20662439635032,1.06516747306101,1.21281416386033,1.06513903447118,1.23513225604592
16,1.06100897996042,1.20662439635032,1.06275507685781,1.21289412441378,1.06363648603216,1.23513225604592
17,1.06100897996042,1.20662439635032,1.06168226727282,1.21283996319712,1.06200291948001,1.23513225604592
18,1.06100897996042,1.20662439635032,1.06076470279038,1.21284841126997,1.06234249845081,1.23513225604592
19,1.06100897996042,1.20662439635032,1.06070244866189,1.21284265626435,1.06082709759367,1.23513225604592
20,1.06100897996042,1.20662439635032,1.06100897996042,1.21286308260079,1.06100897996042,1.23513225604592
